seat_no,name,vote,party,alliance,seat,district,division,region,voters,male_voters,female_voters,thirdgender_voters,time,vote_pc
80,মাহমুদ হাসান খান,163877,BNP,BNP,Chuadanga-2,Chuadanga,Khulna,Rural,492431.0,246716.0,245711.0,4.0,2026-02-14 14:42:37.115645+00:00,33.28
80,মোঃ রুহুল আমিন,208011,Jamaat,Jamaat-NCP,Chuadanga-2,Chuadanga,Khulna,Rural,492431.0,246716.0,245711.0,4.0,2026-02-14 14:42:37.115645+00:00,42.24
249,ড. খন্দকার মোশাররফ হোসেন,141440,BNP,BNP,Comilla-1,Comilla,Chittagong,Rural,438616.0,225088.0,213528.0,0.0,2026-02-14 14:42:37.115645+00:00,32.25
249,মোঃ মনিরুজ্জামান,94845,Jamaat,Jamaat-NCP,Comilla-1,Comilla,Chittagong,Rural,438616.0,225088.0,213528.0,0.0,2026-02-14 14:42:37.115645+00:00,21.62
258,মোঃ মোবাশ্বের আলম ভুঁইয়া,163667,BNP,BNP,Comilla-10,Comilla,Chittagong,Rural,536227.0,276647.0,259579.0,1.0,2026-02-14 14:42:37.115645+00:00,30.52
258,মুহাম্মদ ইয়াছিন আরাফাত,123733,Jamaat,Jamaat-NCP,Comilla-10,Comilla,Chittagong,Rural,536227.0,276647.0,259579.0,1.0,2026-02-14 14:42:37.115645+00:00,23.07
259,মোঃ কামরুল হুদা,76638,BNP,BNP,Comilla-11,Comilla,Chittagong,Rural,421632.0,216923.0,204705.0,4.0,2026-02-14 14:42:37.115645+00:00,18.18
259,সৈয়দ আবদুল্লাহ মোহাম্মদ তাহের,133308,Jamaat,Jamaat-NCP,Comilla-11,Comilla,Chittagong,Rural,421632.0,216923.0,204705.0,4.0,2026-02-14 14:42:37.115645+00:00,31.62
250,মোঃ সেলিম ভূঁইয়া,77037,BNP,BNP,Comilla-2,Comilla,Chittagong,Rural,375067.0,196119.0,178947.0,1.0,2026-02-14 14:42:37.115645+00:00,20.54
250,মোঃ আবদুল মতিন,63045,Independent,no alliance,Comilla-2,Comilla,Chittagong,Rural,375067.0,196119.0,178947.0,1.0,2026-02-14 14:42:37.115645+00:00,16.81
251,কাজী শাহ মোফাজ্জাল হোসাইন (কায়কোবাদ),159291,BNP,BNP,Comilla-3,Comilla,Chittagong,Rural,500726.0,258905.0,241817.0,4.0,2026-02-14 14:42:37.115645+00:00,31.81
251,মোঃ ইউছুফ সোহেল,109595,Jamaat,Jamaat-NCP,Comilla-3,Comilla,Chittagong,Rural,500726.0,258905.0,241817.0,4.0,2026-02-14 14:42:37.115645+00:00,21.89
252,মোঃ আঃ জসিম উদ্দিন,49885,GOP (Nuru),BNP,Comilla-4,Comilla,Chittagong,Rural,410559.0,215237.0,195319.0,3.0,2026-02-14 14:42:37.115645+00:00,12.15
252,মোঃ আবুল হাসনাত,166583,NCP,Jamaat-NCP,Comilla-4,Comilla,Chittagong,Rural,410559.0,215237.0,195319.0,3.0,2026-02-14 14:42:37.115645+00:00,40.57
253,মোঃ জসীম উদ্দিন,134485,BNP,BNP,Comilla-5,Comilla,Chittagong,Rural,476172.0,247155.0,229017.0,0.0,2026-02-14 14:42:37.115645+00:00,28.24
253,মোবারক হোসাইন,124547,Jamaat,Jamaat-NCP,Comilla-5,Comilla,Chittagong,Rural,476172.0,247155.0,229017.0,0.0,2026-02-14 14:42:37.115645+00:00,26.16
254,মোঃ মনিরুল হক চৌধুরী,201706,BNP,BNP,Comilla-6,Comilla,Chittagong,Urban,644777.0,324195.0,320575.0,7.0,2026-02-14 14:42:37.115645+00:00,31.28
